,baseline,voc 1,voc 2,voc 3,voc 4,voc 5,voc 6,voc 7,voc 8,voc 9,voc 10,voc 11,voc 12,voc 13,voc 14,voc 15,voc 16,voc 17,voc 18
0,0.015346227514587614,0.01173646305681515,0.012528473804100227,0.024267338549264023,0.019407321324811155,0.01934640522875817,0.02492877492877493,0.014322657648697036,0.015816387204185992,0.01631568962246253,0.01930593390974772,0.0227242167540675,0.019600659461439823,0.017953667953667953,0.012264365205541677,0.008259755055539733,0.013972602739726028,0.01799043062200957,0.010754523728234893
1,0.031844388479892384,0.03360896238997066,0.03052391799544419,0.02386951332714494,0.024869262056943637,0.02431372549019608,0.02264957264957265,0.022279689675750947,0.03484361993102628,0.016505406943653957,0.020608788345374867,0.027161489848057014,0.028943029858948525,0.028764478764478765,0.040199863729275497,0.031899743662774135,0.027123287671232878,0.026602870813397128,0.02902014339364971
4,0.004397061410036124,0.01173646305681515,0.011389521640091117,0.002386951332714494,0.0018593840790238235,0.0036601307189542483,0.0009971509971509972,0.008155957827730256,0.021405636817695327,0.004173781066211345,0.004145445931540922,0.006992066693559231,0.011540575196922514,0.006177606177606178,0.014081308198955257,0.005981201936770151,0.009315068493150684,0.004210526315789474,0.01109593717992489
5,0.015290177061448692,0.010402774073086157,0.009567198177676537,0.025593422622994296,0.016966879721092388,0.010718954248366013,0.018233618233618232,0.018699025263576686,0.007491972886193364,0.013280212483399735,0.01587113585218524,0.020707274438617723,0.010441472797215608,0.009845559845559846,0.011583011583011582,0.015095414411848477,0.01780821917808219,0.018947368421052633,0.01109593717992489
11,0.016040093468962544,0.015737530008002133,0.01753986332574032,0.01511735844052513,0.013480534572922719,0.010718954248366013,0.015954415954415956,0.01392480604734434,0.009037935545249138,0.00910643141718839,0.00781712661376288,0.012236116713728654,0.012822861329913903,0.014092664092664093,0.015671133318192143,0.02193107376815722,0.013424657534246575,0.019138755980861243,0.014510071696824854
12,0.014161436901685573,0.03574286476393705,0.01685649202733485,0.01710648455112054,0.014294015107495643,0.008104575163398693,0.013675213675213675,0.016908693057489557,0.010227137590676656,0.018782014797951052,0.014568281416558096,0.013849670566088476,0.014105147462905294,0.01718146718146718,0.022257551669316374,0.02563372258615779,0.01863013698630137,0.016842105263157894,0.01399795151928986
16,0.023274467472375823,0.02640704187783409,0.014123006833712985,0.005967378331786235,0.017199302730970367,0.0044444444444444444,0.0065527065527065526,0.009150586831111996,0.02818408847663218,0.011572756592676911,0.008054009238422363,0.018421406481107974,0.011540575196922514,0.012258687258687258,0.02475584828526005,0.017658786670464256,0.011232876712328766,0.011100478468899522,0.018265619665414817
17,0.020875894632879196,0.027740730861563083,0.0407744874715262,0.02638907306723246,0.019639744334689135,0.012287581699346406,0.018233618233618232,0.024865725084543464,0.023308360090379357,0.05103395940049327,0.034229539263295035,0.047868764286674734,0.04433046345484521,0.029922779922779922,0.04088121735180559,0.023924807747080605,0.024657534246575342,0.034641148325358855,0.029532263571184703
18,0.011803452321358508,0.023206188316884504,0.01776765375854214,0.02957167484418512,0.034398605461940734,0.008366013071895426,0.029914529914529916,0.017903322060871293,0.014746105363301225,0.022007209258205273,0.0195428165344072,0.012639505176818609,0.020882945594431216,0.025386100386100386,0.02589143765614354,0.01452577613215608,0.02958904109589041,0.025454545454545455,0.014680778422669852
20,0.004031767077510046,0.002667377967457989,0.005466970387243736,0.004376077443309906,0.005810575246949448,0.006535947712418301,0.005270655270655271,0.005569922418937737,0.0049946485907955765,0.0028457598178713715,0.002487267558924553,0.004840661557079467,0.0014654698662758747,0.005888030888030888,0.0047694753577106515,0.005981201936770151,0.0013698630136986301,0.00784688995215311,0.0054626152270399455
24,0.010993619912213393,0.03574286476393705,0.030979498861047835,0.04150643150775759,0.04253341080766996,0.04496732026143791,0.04700854700854701,0.02804853789536503,0.03508146034011179,0.03870233352305066,0.0352955110742627,0.04154901169826543,0.03498809305733651,0.02528957528957529,0.028389734272087214,0.027342637425234975,0.056438356164383564,0.03712918660287081,0.06179583475588938
26,0.004870591100347706,0.006134969325153374,0.003416856492027335,0.0031826017769526586,0.003137710633352702,0.00130718954248366,0.0027065527065527066,0.0015914064054107818,0.0024973242953977882,0.005501802314551318,0.004619211180859884,0.0034960333467796154,0.0014654698662758747,0.0014478764478764478,0.0034067681126504655,0.00484192537738536,0.0032876712328767125,0.002679425837320574,0.0027313076135199728
27,0.0019211776006927063,0.0013336889837289945,0.01640091116173121,0.0002652168147460549,0.0016269610691458454,0.0005228758169934641,0.0002849002849002849,0.0005967774020290431,0.0010702818408847663,0.0024663251754885223,0.0028425914959137747,0.0005378512841199408,0.0007327349331379373,0.00019305019305019305,0.003179650238473768,0.0014240956992309882,0.0027397260273972603,0.0009569377990430622,0.002389894161829976
30,0.0001874791018784633,0.0,0.0011389521640091116,0.0002652168147460549,0.0011621150493898896,0.0,0.00042735042735042735,0.0,0.0008324414317992627,0.0005691519635742744,0.0010659718109676656,0.0009412397472098965,0.001099102399706906,9.652509652509652e-05,0.0004542357483533954,0.000854457419538593,0.001095890410958904,0.0019138755980861245,0.0005121201775349949
35,0.0023154635469113303,0.005868231528407575,0.004555808656036446,0.0037130354064447684,0.0039511911679256245,0.002352941176470588,0.005840455840455841,0.0053709966182613885,0.005708169818052087,0.006260671599317018,0.005566741679497809,0.00618528976737932,0.004762777065396593,0.004826254826254826,0.0072677719736543266,0.008829393335232128,0.004657534246575342,0.007272727272727273,0.005804028678729942
37,0.0007808407954525687,0.0013336889837289945,0.00045558086560364467,0.0006630420368651372,0.0018593840790238235,0.002352941176470588,0.0019943019943019944,0.0009946290033817386,0.005946010227137591,0.0011383039271485487,0.0010659718109676656,0.005378512841199408,0.00018318373328448433,0.00028957528957528956,0.0009084714967067908,0.0002848191398461977,0.000273972602739726,0.0009569377990430622,0.0005121201775349949
