,baseline,voc 1,voc 2,voc 3,voc 4,voc 5,voc 6,voc 7,voc 8,voc 9,voc 10,voc 11,voc 12,voc 13,voc 14,voc 15,voc 16,voc 17,voc 18
0,0.005696713276829719,0.01005708072845882,0.01300775901414879,0.010489974770946753,0.007854630715123096,0.006038330270412182,0.0110015716530933,0.008097165991902834,0.006707390106599593,0.013555383423702556,0.008400378608613345,0.007375034143676591,0.009323583180987203,0.010633156114064766,0.009405125793557489,0.007384265833570008,0.010890812622172577,0.008693972179289026,0.008514335360556038
2,0.004657216976615893,0.02337591736885023,0.009128251939753538,0.022573363431151242,0.02075029308323564,0.014176949330532948,0.022860408629804256,0.026923076923076925,0.016409150796502577,0.0261425251742835,0.022834831992427827,0.028680688336520075,0.02010968921389397,0.025326244562590625,0.01269691982130261,0.027264981539335417,0.012287070650656241,0.01680834621329212,0.020330147697654215
8,0.021546752257940976,0.016580592552324,0.025559105431309903,0.03771079537909972,0.030246189917936695,0.023890784982935155,0.03157593941991713,0.015991902834008098,0.01437297879985627,0.0261425251742835,0.022953147184098438,0.0146134935809888,0.021937842778793418,0.04214596423392943,0.026804608511638843,0.03862539051405851,0.031555431443730804,0.01796754250386399,0.022241529105125977
12,0.0020288414631366345,0.002446316933949443,0.0022820629849383844,0.0029212587969725135,0.001992966002344666,0.002887897085849304,0.0031433061865980853,0.0020242914979757085,0.002036171996646305,0.001549186676994578,0.002129673450070989,0.0015023217700081944,0.003839122486288848,0.0028032866118898017,0.0023512814483893723,0.004828173814257313,0.0027925160569673277,0.002125193199381762,0.0017376194613379669
13,0.023871941350524534,0.011687958684425116,0.00867183934276586,0.03585181250829903,0.039976553341148885,0.029141506957206617,0.03457636805257894,0.03603238866396761,0.03221942747634447,0.020526723470178157,0.024964505442498817,0.028544113630155694,0.029616087751371114,0.022329627839536008,0.015518457559369857,0.01959670548139733,0.033789444289304665,0.03400309119010819,0.016159860990443094
14,0.0034832244445761546,0.025006795324816526,0.01460520310360566,0.006240871066259461,0.007854630715123096,0.006563402467839328,0.006429489927132447,0.0066801619433198385,0.012935680919870643,0.013942680092951201,0.010411736867013724,0.011472275334608031,0.010968921389396709,0.01652972450459159,0.019985892311309664,0.024140869071286566,0.008656799776598716,0.009080370942812983,0.015812337098175498
15,0.004287922238382033,0.004077194889915738,0.010269283432222729,0.0070375780108883285,0.004220398593200469,0.014964557626673668,0.006286612373196171,0.014777327935222672,0.003952569169960474,0.008520526723470178,0.006743965925224799,0.00928708003277793,0.003473491773308958,0.012663122281295312,0.005878203620973431,0.009656347628514627,0.005305780508237923,0.011398763523956723,0.006602953953084275
18,0.005753703205569512,0.002718129926610492,0.005933363760839799,0.002788474306201036,0.0038686987104337633,0.0031504331845628774,0.003714816402343192,0.002631578947368421,0.0032339202299676607,0.0023237800154918666,0.002721249408424042,0.0034143676591095328,0.0056672760511883,0.0034799420009666506,0.0072889724900070535,0.003976143141153081,0.002234012845573862,0.005216383307573416,0.0033014769765421373
21,0.0026625694707231337,0.002718129926610492,0.002053856686444546,0.002788474306201036,0.001406799531066823,0.0013126804935678655,0.002286040862980426,0.002226720647773279,0.003473469876631932,0.002711076684740511,0.002839564600094652,0.0015023217700081944,0.0020109689213893968,0.0019333011116481392,0.0028215377380672465,0.003976143141153081,0.0005585032113934655,0.00463678516228748,0.0019113814074717638
25,0.0010463350916626014,0.002446316933949443,0.002510269283432223,0.0019917673615721682,0.0031652989449003515,0.0031504331845628774,0.004429204172024575,0.002834008097165992,0.0027548209366391185,0.004647560030983733,0.002602934216753431,0.0019120458891013384,0.0021937842778793418,0.002996616723054616,0.003291794027745121,0.003408122692416927,0.0027925160569673277,0.002704791344667697,0.004691572545612511
