,baseline,voc 1,voc 2,voc 3,voc 4,voc 5,voc 6,voc 7,voc 8,voc 9,voc 10,voc 11,voc 12,voc 13,voc 14,voc 15,voc 16,voc 17,voc 18
0,0.007822977644390296,0.01454349582547805,0.010578279266572637,0.00738255033557047,0.007210979297511049,0.009059419131361577,0.012385254261984556,0.005984440454817474,0.006170598911070781,0.010732081257186662,0.0076427036064007645,0.0091991341991342,0.006984010292225694,0.0054533060668029995,0.0076797765883174305,0.005399261153736857,0.0077951002227171495,0.007574286269178481,0.006852925672113864
2,0.0003090363414851573,0.00026932399676811203,0.00023507287259050304,0.0,0.00011630611770179111,0.0,0.00014570887367040654,0.0,0.0,0.0009582215408202376,0.0002388344877000239,0.0006764069264069264,0.0003675794890645102,0.0,0.00023272050267628578,0.0005683432793407218,0.0,0.0001942124684404739,0.0
4,0.0018383700313988848,0.00134661998384056,0.0007052186177715092,0.0013422818791946308,0.0038381018841591066,0.002930988542499334,0.0018942153577152848,0.00019948134849391582,0.0018148820326678765,0.006132617861249521,0.0013135896823501315,0.002435064935064935,0.0011027384671935306,0.0015580874476579997,0.0018617640214102862,0.0019892014776925265,0.0005567928730512249,0.0017479122159642648,0.0005271481286241434
5,0.022399191751106884,0.024777807702666306,0.02139163140573578,0.024026845637583893,0.022214468481042103,0.025046629363176125,0.024041964155617077,0.023538799122282066,0.022867513611615244,0.022997316979685704,0.021017434917602103,0.02922077922077922,0.0233412975555964,0.023858214042263123,0.021875727251570862,0.026427962489343565,0.022271714922048998,0.03010293260827345,0.023370233702337023
8,0.00028922631959508316,0.0008079719903043361,0.0004701457451810061,0.00026845637583892615,0.00011630611770179111,0.0,0.00014570887367040654,0.00019948134849391582,0.00024198427102238354,0.0,0.00011941724385001195,0.00013528138528138528,0.0001837897445322551,0.00029214139643587495,0.00023272050267628578,0.0005683432793407218,0.0,0.0001942124684404739,0.0
15,0.005616141205836032,0.01077295987072448,0.01151857075693465,0.011677852348993288,0.013258897418004187,0.007460698108180123,0.010345330030598864,0.005585477757829643,0.006291591046581972,0.010157148332694519,0.0029854310962502987,0.004734848484848485,0.011762543650064326,0.007108773979939624,0.0058180125669071445,0.01250355214549588,0.013084632516703786,0.01048747329578559,0.007204357757863293
16,0.004423577888053566,0.008079719903043361,0.004936530324400564,0.005100671140939597,0.0046522447080716445,0.003996802557953637,0.009471076788576425,0.005784959106323559,0.005323653962492438,0.004024530471444998,0.005254358729400526,0.003787878787878788,0.006248851314096674,0.005355925601324374,0.005585292064230859,0.007104290991759022,0.004732739420935412,0.004272674305690425,0.005798629414865577
18,0.004364147822383343,0.005655803932130353,0.003526093088857546,0.006845637583892617,0.004768550825773436,0.0045297095656807885,0.0050998105784642285,0.004588071015360064,0.004355716878402904,0.009965504024530471,0.0034631000716503465,0.005275974025974026,0.006248851314096674,0.004869023273931249,0.00605073306958343,0.008809320829781187,0.01030066815144766,0.007962711206059429,0.005974345457740292
23,0.003779752176626155,0.015890115809318612,0.013634226610249177,0.0087248322147651,0.011979530123284485,0.009592326139088728,0.010199621156928457,0.008976660682226212,0.006533575317604356,0.007665772326561901,0.005851444948650585,0.00716991341991342,0.006616430803161184,0.0054533060668029995,0.007912497090993717,0.008240977550440466,0.008351893095768375,0.004466886774130899,0.008082937972236866
27,0.013391574797690152,0.007810395906275249,0.007287259050305595,0.01046979865771812,0.011746917887880903,0.010391686650679457,0.01049103890426927,0.008777179333732297,0.011978221415607986,0.008240705251054043,0.013613565798901361,0.011363636363636364,0.00937327697114501,0.009640666082383873,0.010239702117756575,0.008809320829781187,0.009187082405345211,0.014371722664595066,0.011597258829731154
