,baseline,voc 1,voc 2,voc 3,voc 4,voc 5,voc 6,voc 7,voc 8,voc 9,voc 10,voc 11,voc 12,voc 13,voc 14,voc 15,voc 16,voc 17,voc 18
15,0.004263946253140805,0.0,0.00022993791676247414,0.0005346164127238706,0.00011716461628588167,0.0013301409949454642,0.00043153049482163404,0.0,0.0007362866609399927,0.0,0.0007086335183654187,0.000549526033795851,0.0001830831197363603,0.0002927114840472241,0.00046382189239332097,0.0002870264064293915,0.0005567928730512249,0.000588235294117647,0.00034317089910775565
16,0.002443627265962839,0.0049586776859504135,0.0036790066681995862,0.00227211975407645,0.0023432923257176333,0.0026602819898909284,0.0023014959723820483,0.0020437359493153486,0.002331574426309977,0.006140855881788524,0.003188850832644384,0.004258826761917846,0.005675576711827169,0.0033173968192018732,0.005333951762523191,0.0037313432835820895,0.005567928730512249,0.001568627450980392,0.0036032944406314345
17,0.004800983489879328,0.0011019283746556473,0.0013796275005748448,0.0014701951349906442,0.0015231400117164617,0.0031923383878691143,0.0014384349827387803,0.002248109544246883,0.0017180022088599829,0.0017271157167530224,0.0008267391047596551,0.003022393185877181,0.0016477480776272428,0.0017562689042833447,0.0027829313543599257,0.0054535017221584384,0.0027839643652561247,0.00196078431372549,0.002059025394646534
25,0.011172099945002211,0.008815426997245178,0.013106461255461025,0.004276931301790965,0.006209724663151728,0.007714817770683693,0.006329113924050633,0.003678724708767627,0.0061357221744999385,0.005948954135482633,0.003188850832644384,0.007006456930897101,0.004027828634199927,0.006342082154356523,0.0055658627087198514,0.0054535017221584384,0.0041759465478841875,0.005686274509803921,0.004804392587508579
26,0.007020306046521659,0.008539944903581268,0.01724534375718556,0.008286554397219995,0.015700058582308142,0.010375099760574621,0.010356731875719217,0.015123646024933579,0.007485581052889925,0.013816925734024179,0.010393291602692808,0.010166231625223244,0.03185646283412669,0.013172016782125085,0.021567717996289426,0.013777267508610792,0.016425389755011136,0.011764705882352941,0.015442690459849005
27,0.004619814301581995,0.012396694214876033,0.012646585421936076,0.0056134723336006415,0.006561218512009373,0.006384676775738229,0.0038837744533947068,0.007561823012466789,0.00699472327892993,0.008635578583765112,0.0064958072516830044,0.005495260337958511,0.005675576711827169,0.004585813250073178,0.00927643784786642,0.006601607347876005,0.004732739420935412,0.00607843137254902,0.0036032944406314345
28,0.0021589328272098867,0.015426997245179064,0.0068981375028742235,0.036754878374766105,0.03702401874633861,0.01675977653631285,0.0405638665132336,0.024729204986715717,0.011535157688059884,0.011706006524659375,0.018778788236683594,0.014699821404039016,0.006957158549981692,0.004780954239437994,0.006493506493506494,0.012629161882893225,0.02060133630289532,0.025098039215686273,0.01098146877144818
29,0.009573928891093594,0.006336088154269973,0.00781788916992412,0.004276931301790965,0.005389572349150556,0.0031923383878691143,0.004746835443037975,0.00633558144287758,0.002699717756779973,0.009019382076376896,0.005432856974134877,0.003571919219673032,0.0031124130355181254,0.004097960776661138,0.0027829313543599257,0.006888633754305396,0.005011135857461025,0.004901960784313725,0.007892930679478381
31,0.002396178192837347,0.012947658402203856,0.008737640836974018,0.009355787222667736,0.010427650849443469,0.014365522745411013,0.010644418872266973,0.015532393214796648,0.007731009939869923,0.01669545192861255,0.013464036848942955,0.01195219123505976,0.005675576711827169,0.0046833837447555855,0.006029684601113173,0.012629161882893225,0.014476614699331848,0.013333333333333334,0.009265614275909403
33,0.002046780472549633,0.0,0.0009197516670498966,0.0014701951349906442,0.003983596953719977,0.0005320563979781857,0.0005753739930955121,0.0004087471898630697,0.0014725733218799854,0.004797543657647284,0.0011810558639423646,0.00013738150844896276,0.0003661662394727206,0.004097960776661138,0.0018552875695732839,0.0002870264064293915,0.0022271714922048997,0.0027450980392156863,0.001029512697323267
36,0.008538676386537403,0.011294765840220386,0.011037020004598759,0.008687516706762898,0.011599297012302284,0.007182761372705506,0.008486766398158803,0.01389740445534437,0.008712725487789914,0.009978890807906352,0.00897602456596197,0.005220497321060585,0.009886488465763456,0.009659478973558396,0.009972170686456401,0.008036739380022962,0.010857461024498886,0.005686274509803921,0.00943719972546328
37,0.013510045184458272,0.008815426997245178,0.006208323752586802,0.005346164127238706,0.005272407732864675,0.011971268954509178,0.006329113924050633,0.004291845493562232,0.005522149957049945,0.009019382076376896,0.004724223455769458,0.003022393185877181,0.0029293299157817647,0.004878524734120402,0.004406307977736549,0.005166475315729047,0.006959910913140312,0.00823529411764706,0.007035003431708991
39,0.01110739666346745,0.004683195592286501,0.008737640836974018,0.005346164127238706,0.007147041593438781,0.005054535780792764,0.004602991944764097,0.005722460658082976,0.004172291078659959,0.007292266359623873,0.006732018424471477,0.006731693913999175,0.005309410472354449,0.006244511659674114,0.005797773654916512,0.0037313432835820895,0.0041759465478841875,0.009607843137254901,0.0039464653397391905
