bin (ms),whole,all_voc,baseline_whole,baseline_voclen,first_half,second_half,first_100ms,last_100ms,trial1,trial2,trial3,trial4,trial5,voc1,voc2,voc3,voc4,voc5,voc6,voc7,voc8,voc9,voc10,voc11,voc12,voc13,voc14,voc15,voc16,voc17,voc18
1,575039,109189,463655,109182,54568,54621,9090,9090,93197,93212,93183,93168,93179,3804,4446,7590,8666,3873,7090,5105,8449,5328,8538,7475,5555,10394,4427,3594,3697,5261,5897
5,115008,21910,92802,21905,10930,10980,1890,1890,18640,18643,18637,18635,18637,764,894,1522,1738,778,1423,1025,1695,1070,1712,1499,1115,2081,888,722,744,1057,1183
10,57504,11000,46451,10996,5478,5522,990,990,9320,9322,9319,9318,9319,385,449,764,872,392,713,515,850,538,859,754,560,1042,447,362,374,531,593
15,38336,7363,30995,7365,3659,3704,685,685,6214,6215,6213,6213,6213,257,301,510,583,262,478,345,570,360,574,504,375,695,300,245,250,355,399
20,28752,5545,23272,5542,2753,2792,540,540,4661,4661,4660,4659,4660,195,226,384,439,198,359,260,428,271,433,380,282,524,225,183,189,269,300
30,19168,3726,15546,3727,1840,1886,392,392,3108,3108,3107,3107,3107,131,154,256,294,134,242,175,289,182,289,255,190,350,153,125,126,180,201
40,14376,2818,11677,2820,1383,1435,312,312,2331,2331,2330,2330,2331,100,116,195,222,101,181,132,217,137,219,193,145,265,115,94,97,137,152
50,11501,2271,9355,2269,1110,1161,270,270,1864,1865,1864,1865,1865,81,94,158,178,83,147,107,173,112,175,155,115,212,93,76,79,111,122
