bin (ms),whole,minute1,minute2,minute3,minute4,minute5,part1,part2
1,666224,119971,119977,119998,119970,119941,301373,301395
5,133245,23997,23997,24001,23996,23990,60276,60280
10,66623,11999,11999,12002,11999,11996,30139,30140
15,44415,8000,8001,8002,8000,7997,20093,20094
20,33312,6001,6001,6002,6000,5999,15070,15071
30,22208,4001,4001,4002,4001,3999,10047,10047
40,16656,3001,3002,3002,3001,3000,7535,7536
50,13325,2402,2402,2402,2401,2401,6029,6029
