bin (ms),whole,all_voc,baseline_whole,baseline_voclen,first_half,second_half,first_100ms,last_100ms,trial1,trial2,trial3,trial4,trial5,voc1,voc2,voc3,voc4,voc5,voc6,voc7,voc8,voc9,voc10,voc11,voc12,voc13,voc14,voc15,voc16,voc17,voc18
1,536452,109189,425783,109183,54567,54622,9090,9090,93217,93204,93216,93215,93206,3804,4447,7590,8665,3873,7090,5105,8448,5329,8538,7475,5555,10394,4426,3595,3696,5261,5898
5,107291,21911,85234,21905,10931,10980,1890,1890,18645,18642,18644,18644,18642,765,892,1521,1738,780,1423,1025,1694,1069,1711,1498,1115,2083,890,724,744,1056,1183
10,53646,11001,42659,10995,5475,5526,990,990,9323,9322,9323,9322,9321,385,447,763,871,394,714,515,849,539,858,752,560,1043,447,365,375,531,593
15,35764,7364,28475,7366,3659,3705,681,681,6216,6215,6216,6216,6214,258,301,510,583,263,478,345,569,359,574,504,375,695,300,244,251,356,399
20,26823,5546,21379,5542,2752,2794,540,540,4662,4661,4662,4661,4661,195,225,383,439,199,359,260,427,272,432,379,283,524,225,185,190,269,300
30,17882,3727,14286,3728,1840,1887,389,389,3108,3108,3109,3108,3107,131,154,256,294,135,242,175,288,182,289,254,190,350,153,125,127,181,201
40,13412,2818,10738,2810,1382,1436,319,319,2332,2331,2332,2331,2331,100,115,194,222,102,183,133,215,139,218,192,143,264,115,95,98,137,153
50,10730,2272,8601,2271,1109,1163,270,270,1865,1866,1865,1865,1865,81,93,156,179,84,146,106,174,110,175,154,116,213,95,78,78,111,123
