bin (ms),whole,all_voc,baseline_whole,baseline_voclen,first_half,second_half,first_100ms,last_100ms,trial1,trial2,trial3,trial4,trial5,voc1,voc2,voc3,voc4,voc5,voc6,voc7,voc8,voc9,voc10,voc11,voc12,voc13,voc14,voc15,voc16,voc17,voc18
1,627552,109192,517391,109184,54567,54625,9090,9090,93215,93214,93204,93208,93204,3804,4446,7591,8665,3875,7091,5105,8450,5325,8538,7475,5555,10394,4427,3593,3699,5262,5897
5,125511,21910,103550,21913,10930,10980,1890,1890,18644,18644,18642,18642,18642,765,893,1523,1736,779,1421,1025,1693,1070,1712,1499,1115,2084,890,722,744,1056,1183
10,62756,11000,51821,11005,5477,5523,990,990,9323,9323,9322,9321,9322,385,449,765,870,391,712,515,849,536,859,753,560,1044,449,363,374,531,595
15,41837,7364,34579,7360,3660,3704,690,690,6215,6216,6215,6215,6215,258,300,511,583,263,477,345,569,360,575,503,375,698,300,244,250,355,398
20,31378,5545,25954,5553,2754,2791,540,540,4662,4662,4662,4661,4662,195,228,385,437,199,358,260,427,270,431,379,281,524,229,185,190,267,300
30,20919,3727,17332,3726,1841,1886,394,394,3108,3109,3108,3108,3108,131,154,257,294,134,241,175,288,182,290,254,190,352,153,125,126,180,201
40,15689,2817,13012,2825,1382,1435,309,309,2331,2332,2331,2331,2331,100,117,195,221,103,180,133,216,137,218,192,144,264,117,95,96,136,153
50,12552,2272,10440,2266,1109,1163,270,270,1865,1865,1865,1865,1865,80,94,156,177,83,146,108,173,112,177,155,115,213,94,77,78,110,124
