bin (ms),whole,minute1,minute2,minute3,minute4,minute5,part1,part2
1,678555,119955,119960,119949,119968,119966,301382,301365
5,135711,23993,23993,23991,23996,23995,60278,60274
10,67856,11998,11997,11997,11999,11999,30140,30137
15,45237,7999,7999,7998,8001,7999,20093,20092
20,33928,6001,5999,5999,6001,6000,15071,15069
30,22619,4001,4000,4000,4001,4001,10047,10047
40,16964,3002,3000,3001,3001,3001,7536,7535
50,13572,2401,2402,2401,2402,2401,6029,6028
