bin (ms),whole,all_voc,baseline_whole,baseline_voclen,first_half,second_half,first_100ms,last_100ms,trial1,trial2,trial3,trial4,trial5,voc1,voc2,voc3,voc4,voc5,voc6,voc7,voc8,voc9,voc10,voc11,voc12,voc13,voc14,voc15,voc16,voc17,voc18
1,539304,109193,429238,109183,54571,54622,9090,9090,93221,93212,93205,93213,93216,3803,4447,7592,8665,3873,7090,5105,8450,5325,8539,7475,5555,10395,4430,3594,3697,5260,5898
5,107861,21911,85925,21908,10930,10981,1890,1890,18645,18644,18642,18644,18644,764,894,1523,1737,779,1420,1025,1695,1070,1712,1499,1115,2083,890,723,744,1055,1183
10,53931,11001,43007,10994,5479,5522,990,990,9323,9323,9322,9323,9323,385,449,763,870,392,713,515,850,539,859,754,560,1044,447,363,375,530,593
15,35954,7362,28696,7367,3658,3704,682,682,6216,6215,6215,6216,6215,259,301,512,582,264,476,345,569,360,573,503,375,698,300,244,250,355,396
20,26966,5546,21552,5539,2754,2792,540,540,4662,4662,4661,4662,4662,195,226,384,439,199,358,260,427,271,433,380,280,525,226,184,190,269,300
30,17977,3726,14396,3727,1844,1882,382,382,3109,3108,3108,3109,3108,132,152,259,294,134,241,175,286,183,290,254,190,351,152,124,129,180,200
40,13483,2818,10823,2818,1382,1436,311,311,2331,2332,2331,2332,2332,100,116,194,222,102,181,133,216,137,219,192,144,265,116,95,96,137,153
50,10787,2272,8673,2268,1108,1164,270,270,1865,1866,1865,1866,1865,80,92,156,177,84,145,107,175,112,176,155,116,213,94,78,78,110,124
