bin (ms),whole,all_voc,baseline_whole,baseline_voclen,first_half,second_half,first_100ms,last_100ms,trial1,trial2,trial3,trial4,trial5,voc1,voc2,voc3,voc4,voc5,voc6,voc7,voc8,voc9,voc10,voc11,voc12,voc13,voc14,voc15,voc16,voc17,voc18
1,616060,109189,504795,109189,54569,54620,9090,9090,93185,93209,93210,93207,93181,3802,4446,7593,8665,3873,7091,5105,8449,5325,8538,7478,5555,10394,4428,3590,3699,5262,5896
5,123212,21909,101027,21914,10930,10979,1890,1890,18638,18643,18643,18643,18637,764,893,1524,1736,778,1421,1025,1693,1070,1712,1500,1115,2084,890,721,744,1056,1183
10,61606,11000,50564,11004,5477,5523,990,990,9319,9322,9322,9322,9319,384,449,765,870,391,712,515,849,536,859,754,560,1044,449,362,375,531,595
15,41071,7364,33738,7363,3660,3704,687,687,6214,6215,6215,6215,6213,258,300,511,583,263,477,345,569,360,575,503,375,698,300,244,250,355,398
20,30803,5545,25327,5542,2750,2795,540,540,4660,4661,4661,4662,4660,194,226,385,438,197,359,260,427,271,433,379,284,525,225,183,190,269,300
30,20536,3727,16916,3727,1841,1886,393,393,3107,3108,3108,3108,3107,131,154,257,294,134,241,175,288,182,290,254,190,352,153,125,126,180,201
40,15402,2818,12712,2816,1383,1435,314,314,2330,2331,2331,2331,2330,100,116,195,221,100,182,133,216,137,219,193,145,265,115,94,98,137,152
50,12322,2272,10184,2272,1113,1159,270,270,1865,1865,1865,1865,1865,82,94,158,178,82,147,109,172,111,175,155,116,212,94,76,79,110,122
