bin (ms),whole,minute1,minute2,minute3,minute4,minute5,part1,part2
1,658758,119935,119928,119973,119981,119882,301369,301370
5,131752,23990,23988,23997,23998,23978,60275,60275
10,65876,11996,11995,11999,11999,11990,30138,30138
15,43918,7998,7997,8000,8000,7994,20093,20092
20,32938,5999,5999,6001,6001,5997,15070,15069
30,21959,4000,3999,4000,4000,3998,10047,10047
40,16469,3000,3001,3001,3001,3000,7535,7535
50,13176,2401,2401,2402,2402,2400,6029,6028
