bin (ms),whole,minute1,minute2,minute3,minute4,minute5,part1,part2
1,652969,119926,119981,119968,119960,119957,301390,301397
5,130594,23987,23997,23994,23994,23994,60279,60280
10,65297,11995,12000,11998,11998,11999,30140,30141
15,43532,7997,8000,8000,8000,7999,20094,20094
20,32649,5999,6001,6000,6000,6000,15071,15071
30,21766,3999,4001,4002,4000,4001,10047,10048
40,16325,3001,3001,3001,3001,3001,7536,7536
50,13060,2400,2402,2402,2402,2401,6029,6029
